Parcel,Crop,Area (ha),NDVI,NDRE,Vigor Z,Heterog.,Runoff,Conf.,Risk Score,Risk Level
LPIS-61793978296_229A,Ley / Grass,113.75,0.614,0.368,,32,40,0.73,18.8,Low
LPIS-61803982066_228A,Ley / Grass,99.5,0.486,0.277,,33.8,40,0.49,18.6,Low
LPIS-61813979996_14A,Ley / Grass,91.02999877929688,0.455,0.255,,23.9,15,0.69,8.5,Low
LPIS-61763989031_21A,Ley / Grass,66.06999969482422,0.643,0.404,,22.4,40,0.32,18.2,Low
LPIS-61803989211_8A,Ley / Grass,54.83000183105469,0.498,0.278,,26.1,15,0.58,8.7,Low
LPIS-61573984407_201E,Spring Barley,51.95000076293945,0.746,0.608,,11.4,15,0.61,10.3,Low
LPIS-61604032137_14A,Winter Wheat,47.77000045776367,0.288,0.191,,74.7,15,0.49,14.8,Low
LPIS-61533932968_67D,Rapeseed,46.63999938964844,0.781,0.624,,14.5,15,0.61,14.6,Low
LPIS-61793976724_117A,Ley / Grass,46.56999969482422,0.627,0.389,,33,40,0.36,19.1,Low
LPIS-61563968442_10A,Winter Wheat,46.31999969482422,0.845,0.683,,7.3,15,0.52,23.4,Low
LPIS-61554021572_1G,Winter Wheat,42.79999923706055,0.583,0.405,,27.6,15,0.55,10.5,Low
LPIS-61564072403_11D,Winter Wheat,41.88999938964844,0.643,0.427,,10.6,15,0.58,8.4,Low
LPIS-61453965171_1A,Rapeseed,40.68000030517578,0.572,0.405,,40.1,15,0.5,11.9,Low
LPIS-61554043353_36A,Winter Wheat,40.54999923706055,0.76,0.564,,28.6,15,0.52,11.2,Low
LPIS-61563945897_1A,Winter Barley,39.439998626708984,0.832,0.58,,8.3,15,0.44,20.3,Low
LPIS-61563972387_29B,Rapeseed,39.369998931884766,0.693,0.509,,13.3,15,0.57,9.5,Low
LPIS-61753963846_151A,Sugar Beet,38.439998626708984,0.806,0.609,,9.8,40,0.53,24.3,Low
LPIS-61773959083_11A,Ley / Grass,37.90999984741211,0.684,0.425,,16,40,0.59,17.4,Low
LPIS-61584044672_36E,Spring Barley,37.90999984741211,0.839,0.617,,8,40,0.65,30.4,Moderate
LPIS-61483944562_64A,Sugar Beet,37.869998931884766,0.649,0.513,,10.8,15,0.56,10,Low
LPIS-61473984792_30D,Sugar Beet,37.279998779296875,0.809,0.564,,10.6,15,0.55,15.7,Low
LPIS-61543923421_18B,Winter Barley,36.2400016784668,0.842,0.674,,6.9,15,0.69,23.9,Low
LPIS-61554021572_1A,Rapeseed,35.83000183105469,0.716,0.557,,18,15,0.69,10.5,Low
LPIS-61563960106_11A,Winter Wheat,35.77000045776367,0.807,0.641,,13.6,15,0.63,15.4,Low
LPIS-61483959221_21A,Winter Wheat,35.18000030517578,0.562,0.387,,14.1,15,0.66,9.1,Low
LPIS-61623989114_218A,Ley / Grass,35.04999923706055,0.796,0.524,,11.2,40,0.44,33.3,Moderate
LPIS-61573964056_20A,Sugar Beet,34.689998626708984,0.841,0.562,,5,15,0.46,24,Low
LPIS-61544030342_8A,Ley / Grass,34.52000045776367,0.678,0.427,,11.1,15,0.55,8.1,Low
LPIS-61533961061_22A,Spring Barley,34.22999954223633,0.871,0.709,,8.5,15,0.47,28.8,Low
LPIS-61554033359_30A,Spring Barley,33.599998474121094,0.821,0.666,,14,15,0.66,19.4,Low
LPIS-61614056675_62A,Ley / Grass,33.150001525878906,0.678,0.444,,22.2,40,0.43,18.5,Low
LPIS-61484016712_59A,Spring Barley,32.720001220703125,0.832,0.683,,14.5,15,0.5,21.8,Low
LPIS-61584058105_6A,Rapeseed,32.65999984741211,0.796,0.639,,11.1,15,0.74,17.1,Low
LPIS-61483931194_2C,Spring Barley,32.619998931884766,0.683,0.546,,13.7,15,0.44,10.4,Low
